rank,country,category,product_idea,target_segment,channel_strategy,priority_level,recommended_action,scenario,product_opportunity_score,estimated_units,estimated_price_usd,gross_revenue_usd,net_revenue_usd,cogs_pct,logistics_pct,marketing_pct,trade_promo_pct,distributor_margin_pct,contribution_profit_usd,contribution_margin_pct,contribution_per_unit_usd,break_even_units,scenario_profitability_score,scenario_revenue_score,scenario_business_score,profitability_label,scenario_recommendation,idea_rationale,business_rationale
37,Philippines,Ready meal,Microwaveable Korean ready meal,Urban young professionals and students seeking convenient K-Food meals,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Aggressive,45.45,109455,6.02,658919.1,620042.87,0.479,0.09,0.18,0.059,0.134,72545.02,0.117,0.66,74842.0,0.22073578595317728,0.7427253647808376,42.95,Low profitability,Monitor and refine assumptions,Product idea is based on category-level opportunity signals and overall market attractiveness.,Opportunity supported by favorable price feasibility.
37,Philippines,Ready meal,Microwaveable Korean ready meal,Urban young professionals and students seeking convenient K-Food meals,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Base,45.45,59204,6.35,375945.4,339478.7,0.489,0.082,0.099,0.097,0.096,79438.01,0.234,1.34,20241.0,0.6120401337792643,0.284797169844734,48.11,Moderate profitability,Monitor and refine assumptions,Product idea is based on category-level opportunity signals and overall market attractiveness.,Opportunity supported by favorable price feasibility.
37,Philippines,Ready meal,Microwaveable Korean ready meal,Urban young professionals and students seeking convenient K-Food meals,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Conservative,45.45,50487,7.27,367040.49,334373.89,0.438,0.084,0.07,0.089,0.137,90615.32,0.271,1.79,14904.0,0.7357859531772576,0.27646525622657037,55.21,High profitability,Monitor and refine assumptions,Product idea is based on category-level opportunity signals and overall market attractiveness.,Opportunity supported by favorable price feasibility.
38,Philippines,Kimchi,Fresh kimchi starter pack,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Low,Deprioritize,Aggressive,42.44,54424,6.95,378246.8,351013.03,0.412,0.094,0.109,0.072,0.153,81435.02,0.232,1.5,18767.0,0.6053511705685619,0.30362314793273204,48.47,Moderate profitability,Do not prioritize,Product idea is based on category-level opportunity signals and overall market attractiveness.,Opportunity supported by favorable price feasibility.
38,Philippines,Kimchi,Fresh kimchi starter pack,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Low,Deprioritize,Base,42.44,49298,7.86,387482.28,344859.23,0.443,0.092,0.113,0.11,0.098,87594.24,0.254,1.78,15527.0,0.6789297658862876,0.29357910515279395,52.48,High profitability,Do not prioritize,Product idea is based on category-level opportunity signals and overall market attractiveness.,Opportunity supported by favorable price feasibility.
38,Philippines,Kimchi,Fresh kimchi starter pack,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Low,Deprioritize,Conservative,42.44,34494,7.58,261464.52,241854.68,0.455,0.116,0.133,0.075,0.142,37245.62,0.154,1.08,17919.0,0.34448160535117056,0.12545825190305215,25.69,Moderate profitability,Do not prioritize,Product idea is based on category-level opportunity signals and overall market attractiveness.,Opportunity supported by favorable price feasibility.
39,Thailand,Korean ramen,Mild-spicy Korean ramen for beginner K-Food consumers,Urban young professionals and students seeking convenient K-Food meals,"E-commerce, convenience stores, and modern retail",Low,Deprioritize,Aggressive,36.49,141565,2.46,348249.9,314469.66,0.456,0.103,0.116,0.097,0.136,59434.77,0.189,0.42,59922.0,0.46153846153846156,0.24397818521000736,37.45,Moderate profitability,Do not prioritize,Review signals indicate spiciness localization as an important product adaptation need.,Opportunity supported by favorable price feasibility.
39,Thailand,Korean ramen,Mild-spicy Korean ramen for beginner K-Food consumers,Urban young professionals and students seeking convenient K-Food meals,"E-commerce, convenience stores, and modern retail",Low,Deprioritize,Base,36.49,141397,2.83,400153.51,378545.22,0.433,0.065,0.094,0.054,0.088,121134.47,0.32,0.86,35350.0,0.8996655518394648,0.34856034026679883,67.92,High profitability,Do not prioritize,Review signals indicate spiciness localization as an important product adaptation need.,Opportunity supported by favorable price feasibility.
39,Thailand,Korean ramen,Mild-spicy Korean ramen for beginner K-Food consumers,Urban young professionals and students seeking convenient K-Food meals,"E-commerce, convenience stores, and modern retail",Low,Deprioritize,Conservative,36.49,107753,2.72,293088.16,265244.78,0.491,0.097,0.135,0.095,0.149,33951.33,0.128,0.32,67346.0,0.25752508361204013,0.16363485254444898,22.0,Low profitability,Do not prioritize,Review signals indicate spiciness localization as an important product adaptation need.,Opportunity supported by favorable price feasibility.
40,Viet Nam,Korean ramen,Mild-spicy Korean ramen for beginner K-Food consumers,Urban young professionals and students seeking convenient K-Food meals,"E-commerce, convenience stores, and modern retail",Low,Deprioritize,Aggressive,27.23,193425,2.44,471957.0,427121.09,0.414,0.077,0.182,0.095,0.138,80725.89,0.189,0.42,81874.0,0.46153846153846156,0.42784437880440274,44.81,Moderate profitability,Do not prioritize,Review signals indicate spiciness localization as an important product adaptation need.,Opportunity supported by favorable price feasibility.
40,Viet Nam,Korean ramen,Mild-spicy Korean ramen for beginner K-Food consumers,Urban young professionals and students seeking convenient K-Food meals,"E-commerce, convenience stores, and modern retail",Low,Deprioritize,Base,27.23,99447,2.72,270495.84,245880.72,0.387,0.093,0.101,0.091,0.101,78190.07,0.318,0.79,25019.0,0.8929765886287625,0.13202943036087356,58.86,High profitability,Do not prioritize,Review signals indicate spiciness localization as an important product adaptation need.,Opportunity supported by favorable price feasibility.
40,Viet Nam,Korean ramen,Mild-spicy Korean ramen for beginner K-Food consumers,Urban young professionals and students seeking convenient K-Food meals,"E-commerce, convenience stores, and modern retail",Low,Deprioritize,Conservative,27.23,81584,2.56,208855.04,187760.68,0.439,0.072,0.091,0.101,0.134,49568.82,0.264,0.61,24723.0,0.7123745819397994,0.037167691576430295,44.23,High profitability,Do not prioritize,Review signals indicate spiciness localization as an important product adaptation need.,Opportunity supported by favorable price feasibility.
